TEAM,LAST_3_PTS,LAST_3_FG_PCT,LAST_3_FT_PCT,LAST_3_FG3_PCT,LAST_3_AST,LAST_3_REB,LAST_5_PTS,LAST_5_FG_PCT,LAST_5_FT_PCT,LAST_5_FG3_PCT,LAST_5_AST,LAST_5_REB,LAST_10_PTS,LAST_10_FG_PCT,LAST_10_FT_PCT,LAST_10_FG3_PCT,LAST_10_AST,LAST_10_REB
1610612762.0,122.33333333333333,0.48533333333333334,0.8210000000000001,0.37366666666666665,25.0,43.666666666666664,122.6,0.476,0.7879999999999999,0.39560000000000006,27.4,44.0,115.6,0.4527000000000001,0.8196,0.35819999999999996,24.6,43.5
1610612763.0,108.33333333333333,0.43333333333333335,0.7243333333333334,0.32266666666666666,28.666666666666668,47.0,112.2,0.4654,0.7585999999999998,0.3404,26.2,48.0,113.3,0.44939999999999997,0.7823,0.32249999999999995,26.1,46.6
1610612764.0,107.66666666666667,0.41533333333333333,0.8326666666666666,0.321,22.333333333333332,42.666666666666664,104.2,0.42119999999999996,0.7656,0.33259999999999995,22.8,44.2,104.1,0.4205,0.7494,0.3134,22.0,44.2
1610612758.0,110.0,0.4623333333333333,0.8526666666666666,0.331,25.0,45.333333333333336,116.0,0.4676,0.7904,0.37,25.4,44.4,114.3,0.4647,0.8125,0.3495,25.0,42.3
1610612757.0,104.66666666666667,0.41466666666666674,0.7873333333333333,0.3443333333333333,17.333333333333332,43.333333333333336,116.4,0.43879999999999997,0.8336,0.35219999999999996,19.0,44.0,118.2,0.4534000000000001,0.8233,0.3899,21.7,44.0
1610612748.0,104.66666666666667,0.44133333333333336,0.7399999999999999,0.3826666666666667,21.0,41.333333333333336,108.6,0.45220000000000005,0.7508000000000001,0.36119999999999997,23.2,44.6,111.1,0.45940000000000003,0.8090999999999999,0.36769999999999997,25.2,42.0
1610612756.0,125.66666666666667,0.5003333333333333,0.9443333333333332,0.4346666666666667,28.0,49.666666666666664,121.6,0.48739999999999994,0.8994,0.42000000000000004,27.2,49.2,117.1,0.47459999999999997,0.8889000000000001,0.3727,25.5,45.5
1610612742.0,113.0,0.465,0.8066666666666666,0.36833333333333335,20.0,44.333333333333336,118.4,0.4958,0.8226000000000001,0.41200000000000003,23.4,40.8,121.7,0.4595999999999999,0.8204,0.3578,25.2,46.0
1610612765.0,98.66666666666667,0.43100000000000005,0.6696666666666666,0.336,24.0,36.333333333333336,101.8,0.43900000000000006,0.6851999999999999,0.3686,24.4,36.4,100.5,0.4303,0.7778,0.34740000000000004,23.8,40.4
1610612737.0,118.66666666666667,0.47466666666666674,0.7056666666666667,0.37600000000000006,27.0,45.0,114.6,0.4590000000000001,0.7838,0.3628,27.0,42.8,118.6,0.45899999999999996,0.8000999999999999,0.35459999999999997,26.5,44.6
1610612761.0,118.33333333333333,0.4693333333333334,0.7639999999999999,0.42366666666666664,25.0,47.333333333333336,118.8,0.457,0.7318,0.398,25.4,48.8,112.5,0.4528,0.7743,0.39139999999999997,24.0,46.6
1610612738.0,113.0,0.44933333333333336,0.842,0.34099999999999997,19.0,43.666666666666664,110.2,0.4516,0.8332,0.33680000000000004,21.6,45.6,117.8,0.4737,0.8158,0.37479999999999997,23.5,45.8
1610612740.0,112.33333333333333,0.4756666666666667,0.8026666666666666,0.345,26.666666666666668,42.333333333333336,114.2,0.4902,0.7524,0.36519999999999997,27.2,41.2,112.0,0.4755000000000001,0.7461,0.3666,26.5,42.0
1610612760.0,103.0,0.4136666666666667,0.7753333333333333,0.3443333333333333,18.333333333333332,47.333333333333336,105.2,0.4136,0.7996,0.3494,19.8,46.4,106.7,0.43179999999999996,0.7917,0.35209999999999997,19.9,45.2
1610612754.0,103.33333333333333,0.467,0.797,0.38833333333333336,26.333333333333332,42.0,102.0,0.43879999999999997,0.7608,0.3612,24.8,45.0,108.3,0.46840000000000004,0.8049999999999999,0.3681,24.9,41.6
1610612755.0,98.66666666666667,0.39199999999999996,0.8156666666666667,0.2673333333333333,19.333333333333332,48.333333333333336,110.2,0.4406,0.8106,0.34019999999999995,23.2,48.6,113.6,0.4584,0.7815999999999999,0.373,24.0,45.2
1610612747.0,108.66666666666667,0.43966666666666665,0.7593333333333333,0.31766666666666665,25.666666666666668,50.666666666666664,112.2,0.45640000000000003,0.7405999999999999,0.3538,25.0,45.6,105.5,0.4333,0.7342000000000001,0.29109999999999997,22.1,44.5
1610612759.0,121.33333333333333,0.48333333333333334,0.8793333333333333,0.4026666666666667,25.666666666666668,52.333333333333336,124.0,0.488,0.8774000000000001,0.4074,25.4,47.2,118.6,0.47879999999999995,0.8428000000000001,0.3921,25.4,47.1
1610612750.0,113.33333333333333,0.4523333333333333,0.7486666666666667,0.318,25.666666666666668,40.333333333333336,114.0,0.4556,0.6992,0.33520000000000005,25.4,44.0,118.0,0.45680000000000004,0.7204999999999999,0.3496,24.7,40.9
1610612752.0,104.66666666666667,0.4696666666666667,0.745,0.288,21.333333333333332,45.0,108.6,0.47520000000000007,0.7402,0.32280000000000003,22.6,48.4,108.5,0.48130000000000006,0.7008000000000001,0.34480000000000005,23.3,46.7
1610612741.0,105.66666666666667,0.4383333333333333,0.7276666666666668,0.319,24.666666666666668,38.666666666666664,108.2,0.4488,0.7052,0.34419999999999995,24.8,38.2,110.0,0.4673,0.7039,0.3598,24.0,38.7
1610612744.0,115.66666666666667,0.49,0.7153333333333333,0.35600000000000004,31.666666666666668,40.666666666666664,114.4,0.4826,0.7208,0.3378,30.0,44.6,106.4,0.47160000000000013,0.7732,0.2994,27.9,42.0
1610612743.0,116.33333333333333,0.4623333333333333,0.843,0.4796666666666667,24.0,41.0,116.2,0.49300000000000005,0.7888,0.475,26.4,40.0,118.8,0.4930999999999999,0.7894,0.4016,27.3,42.6
1610612753.0,117.0,0.4709999999999999,0.8503333333333334,0.37933333333333336,24.0,41.0,113.2,0.44020000000000004,0.8518000000000001,0.35219999999999996,21.8,44.8,113.5,0.45519999999999994,0.8230000000000001,0.3461,23.5,44.5
1610612745.0,110.0,0.4463333333333333,0.8863333333333333,0.32466666666666666,23.666666666666668,34.666666666666664,107.8,0.42300000000000004,0.8842000000000001,0.3094,21.8,38.0,115.6,0.4319,0.8389000000000001,0.3329,22.8,39.0
1610612746.0,113.0,0.438,0.7370000000000001,0.32,19.0,51.0,116.6,0.4678,0.7687999999999999,0.3398,21.8,46.4,117.3,0.4727,0.7837999999999999,0.38439999999999996,21.6,45.4
1610612751.0,114.0,0.46900000000000003,0.6920000000000001,0.35833333333333334,28.666666666666668,45.666666666666664,115.8,0.4774,0.7314,0.3684,28.8,46.0,116.8,0.46720000000000006,0.7436999999999999,0.3528,28.0,43.7
1610612749.0,109.0,0.4343333333333333,0.6816666666666666,0.33866666666666667,27.0,49.666666666666664,111.8,0.4404,0.7004,0.36319999999999997,26.2,50.2,117.2,0.4633,0.7261,0.34690000000000004,25.8,51.6
1610612739.0,114.0,0.48266666666666663,0.7166666666666667,0.38433333333333336,27.333333333333332,49.666666666666664,111.8,0.4784,0.7334,0.359,28.0,44.2,111.4,0.48260000000000003,0.7234,0.3754,26.4,44.3
1610612766.0,119.33333333333333,0.49800000000000005,0.8313333333333333,0.41966666666666663,28.0,33.0,109.2,0.46480000000000005,0.8231999999999999,0.38039999999999996,26.2,38.4,102.1,0.43879999999999997,0.7473,0.36,24.5,41.5
